time,id,score_val,score_max,score_min,score_avg,score_std,sentence
1,joy_8,0.5,0.5,0.5,0.5,0,0
2,joy_8,0.5,0.5,0.5,0.5,0,0
3,joy_8,0.5,0.5,0.5,0.5,0,0
4,joy_8,0.5,0.5,0.5,0.5,0,0
5,joy_8,0.5,0.5,0.5,0.5,0,0
6,joy_8,0.5,0.5,0.5,0.5,0,0
7,joy_8,0.5,0.5,0.5,0.5,0,0
8,joy_8,0.5,0.5,0.5,0.5,0,0
9,joy_8,0.5,0.5,0.5,0.5,0,0
10,joy_8,0.5,0.5,0.5,0.5,0,0
11,joy_8,0.5,0.5,0.5,0.5,0,0
12,joy_8,0.5,0.5,0.5,0.5,0,0
13,joy_8,0.5,0.5,0.5,0.5,0,0
14,joy_8,0.5,0.5,0.5,0.5,0,0
15,joy_8,0.5,0.5,0.5,0.5,0,0
16,joy_8,0.5,0.5,0.5,0.5,0,0
17,joy_8,0.5,0.5,0.5,0.5,0,0
18,joy_8,0.5,0.5,0.5,0.5,0,0
19,joy_8,0.5,0.5,0.5,0.5,0,0
20,joy_8,0.5,0.5,0.5,0.5,0,0
21,joy_8,0.5,0.5,0.5,0.5,0,0
22,joy_8,0.5,0.5,0.5,0.5,0,0
23,joy_8,0.5,0.5,0.5,0.5,0,0
24,joy_8,0.5,0.5,0.5,0.5,0,0
25,joy_8,0.5,0.5,0.5,0.5,0,0
26,joy_8,0.5,0.5,0.5,0.5,0,0
27,joy_8,0.5,0.5,0.5,0.5,0,0
28,joy_8,0.5,0.5,0.5,0.5,0,0
29,joy_8,0.5,0.5,0.5,0.5,0,0
30,joy_8,0.5,0.5,0.5,0.5,0,0
31,joy_8,0.5,0.5,0.5,0.5,0,0
32,joy_8,0.5,0.5,0.5,0.5,0,0
33,joy_8,0.5,0.5,0.5,0.5,0,0
34,joy_8,0.5,0.5,0.5,0.5,0,0
35,joy_8,0.5,0.5,0.5,0.5,0,0
36,joy_8,0.5,0.5,0.5,0.5,0,0
37,joy_8,0.5,0.5,0.5,0.5,0,0
38,joy_8,0.5,0.5,0.5,0.5,0,0
39,joy_8,0.5,0.5,0.5,0.5,0,0
40,joy_8,0.5,0.5,0.5,0.5,0,0
41,joy_8,0.5,0.5,0.5,0.5,0,0
42,joy_8,0.5,0.5,0.5,0.5,0,0
43,joy_8,0.5,0.5,0.5,0.5,0,0
44,joy_8,0.5,0.5,0.5,0.5,0,0
45,joy_8,0.5,0.5,0.5,0.5,0,0
46,joy_8,0.5,0.5,0.5,0.5,0,0
47,joy_8,0.5,0.5,0.5,0.5,0,0
48,joy_8,0.5,0.5,0.5,0.5,0,0
49,joy_8,0.5,0.5,0.5,0.5,0,0
50,joy_8,0.5,0.5,0.5,0.5,0,0
51,joy_8,0.5,0.5,0.5,0.5,0,0
52,joy_8,0.5,0.5,0.5,0.5,0,0
53,joy_8,0.5,0.5,0.5,0.5,0,0
54,joy_8,0.5,0.5,0.5,0.5,0,0
55,joy_8,0.5,0.5,0.5,0.5,0,0
56,joy_8,0.5,0.5,0.5,0.5,0,0
57,joy_8,0.5,0.5,0.5,0.5,0,0
58,joy_8,0.5,0.5,0.5,0.5,0,0
59,joy_8,0.5,0.5,0.5,0.5,0,0
60,joy_8,0.5,0.5,0.5,0.5,0,0
61,joy_8,0.5,0.5,0.5,0.5,0,0
62,joy_8,0.5,0.5,0.5,0.5,0,0
63,joy_8,0.5,0.5,0.5,0.5,0,0
64,joy_8,0.5,0.5,0.5,0.5,0,0
65,joy_8,0.5,0.5,0.5,0.5,0,0
66,joy_8,0.5,0.5,0.5,0.5,0,0
67,joy_8,0.5,0.5,0.5,0.5,0,0
68,joy_8,0.5,0.5,0.5,0.5,0,0
69,joy_8,0.5,0.5,0.5,0.5,0,0
70,joy_8,0.5,0.5,0.5,0.5,0,0
71,joy_8,0.5,0.5,0.5,0.5,0,0
72,joy_8,0.5,0.5,0.5,0.5,0,0
73,joy_8,0.5,0.5,0.5,0.5,0,0
74,joy_8,0.5,0.5,0.5,0.5,0,0
75,joy_8,0.5,0.5,0.5,0.5,0,0
76,joy_8,0.5,0.5,0.5,0.5,0,0
77,joy_8,0.5,0.5,0.5,0.5,0,0
78,joy_8,0.5,0.5,0.5,0.5,0,0
79,joy_8,0.5,0.5,0.5,0.5,0,0
80,joy_8,0.5,0.5,0.5,0.5,0,0
81,joy_8,0.5,0.5,0.5,0.5,0,0
82,joy_8,0.5,0.5,0.5,0.5,0,0
83,joy_8,0.5,0.5,0.5,0.5,0,0
84,joy_8,0.5,0.5,0.5,0.5,0,0
85,joy_8,0.5,0.5,0.5,0.5,0,0
86,joy_8,0.5,0.5,0.5,0.5,0,0
87,joy_8,0.5,0.5,0.5,0.5,0,0
88,joy_8,0.5,0.5,0.5,0.5,0,0
89,joy_8,0.5,0.5,0.5,0.5,0,0
90,joy_8,0.5,0.5,0.5,0.5,0,0
91,joy_8,0.5,0.5,0.5,0.5,0,0
92,joy_8,0.5,0.5,0.5,0.5,0,0
93,joy_8,0.5,0.5,0.5,0.5,0,0
94,joy_8,0.5,0.5,0.5,0.5,0,0
95,joy_8,0.5,0.5,0.5,0.5,0,0
96,joy_8,0.5,0.5,0.5,0.5,0,0
97,joy_8,0.5,0.5,0.5,0.5,0,0
98,joy_8,0.5,0.5,0.5,0.5,0,0
99,joy_8,0.5,0.5,0.5,0.5,0,0
100,joy_8,0.5,0.5,0.5,0.5,0,0
101,joy_8,0.5,0.5,0.5,0.5,0,0
102,joy_8,0.5,0.5,0.5,0.5,0,0
103,joy_8,0.5,0.5,0.5,0.5,0,0
104,joy_8,0.5,0.5,0.5,0.5,0,0
105,joy_8,0.5,0.5,0.5,0.5,0,0
106,joy_8,0.5,0.5,0.5,0.5,0,0
107,joy_8,0.5,0.5,0.5,0.5,0,0
108,joy_8,0.5,0.5,0.5,0.5,0,0
109,joy_8,0.5,0.5,0.5,0.5,0,0
110,joy_8,0.5,0.5,0.5,0.5,0,0
111,joy_8,0.5,0.5,0.5,0.5,0,0
112,joy_8,0.5,0.5,0.5,0.5,0,0
113,joy_8,0.5,0.5,0.5,0.5,0,0
114,joy_8,0.5,0.5,0.5,0.5,0,0
115,joy_8,0.5,0.5,0.5,0.5,0,0
116,joy_8,0.5,0.5,0.5,0.5,0,0
117,joy_8,0.5,0.5,0.5,0.5,0,0
118,joy_8,0.5,0.5,0.5,0.5,0,0
119,joy_8,0.5,0.5,0.5,0.5,0,0
120,joy_8,0.5,0.5,0.5,0.5,0,0
121,joy_8,0.5,0.5,0.5,0.5,0,0
122,joy_8,0.5,0.5,0.5,0.5,0,0
123,joy_8,0.5,0.5,0.5,0.5,0,0
124,joy_8,0.5,0.5,0.5,0.5,0,0
125,joy_8,0.5,0.5,0.5,0.5,0,0
126,joy_8,0.5,0.5,0.5,0.5,0,0
127,joy_8,0.5,0.5,0.5,0.5,0,0
128,joy_8,0.5,0.5,0.5,0.5,0,0
129,joy_8,0.5,0.5,0.5,0.5,0,0
130,joy_8,0.5,0.5,0.5,0.5,0,0
131,joy_8,0.5,0.5,0.5,0.5,0,0
132,joy_8,0.5,0.5,0.5,0.5,0,0
133,joy_8,0.5,0.5,0.5,0.5,0,0
134,joy_8,0.5,0.5,0.5,0.5,0,0
135,joy_8,0.83,0.83,0.5,0.502444444,0.028401878,"I thought joy, I saw happy NIS. I saw people celebrating like it's just the type of energy that is transmitted between people when someone else is like translating a lot of positive energie. It kind of lift you up a little too. It made me feel like I wanted to be on more. I wanted to be one of those spaces. It made me feel joyful inside. I think that joy and positive emotions and happiness. They keep us going from day to day."
136,joy_8,0.5,0.83,0.5,0.502426471,0.028297267,Did you feel like this?
137,joy_8,0.16,0.83,0.16,0.499927007,0.040629176,Did you feel like this?
138,joy_8,0.16,0.83,0.16,0.497463768,0.049759445, 
139,joy_8,0.16,0.83,0.16,0.495035971,0.057248177, 
140,joy_8,0.16,0.83,0.16,0.492642857,0.063683239, 
141,joy_8,0.16,0.83,0.16,0.490283688,0.069363878, 
142,joy_8,0.16,0.83,0.16,0.487957746,0.074467745, 
143,joy_8,0.16,0.83,0.16,0.485664336,0.0791109, 
144,joy_8,0.16,0.83,0.16,0.483402778,0.08337432, 
145,joy_8,0.16,0.83,0.16,0.481172414,0.087317297, 
146,joy_8,0.16,0.83,0.16,0.478972603,0.090984875, 
147,joy_8,0.16,0.83,0.16,0.476802721,0.094412287, 
